model,press_name,pretty_name,query_aware,configured_ratio,achieved_ratio,score_macro13,niah_single_1,niah_single_2,niah_single_3,niah_multikey_1,niah_multikey_2,niah_multikey_3,niah_multiquery,niah_multivalue,vt,cwe,fwe,qa_1,qa_2,press_init_command
Qwen/Qwen3-8B,expected_attention,ExpectedAttention(AdaKV-wrapped),False,0.5,0.5,94.72,100.0,100.0,100.0,99.6,100.0,99.8,100.0,99.95,100.0,98.94,95.27,77.6,60.2,"AdaKVPress(press=ExpectedAttentionPress(compression_ratio=0.5, n_future_positions=512, n_sink=4, use_covariance=True, use_vnorm=True, epsilon=0.01), alpha_safeguard=0.2)"
Qwen/Qwen3-8B,expected_attention,ExpectedAttention(AdaKV-wrapped),False,0.75,0.75,88.33,100.0,99.8,85.4,99.0,98.2,53.6,99.95,99.85,100.0,97.72,94.33,65.4,55.0,"AdaKVPress(press=ExpectedAttentionPress(compression_ratio=0.75, n_future_positions=512, n_sink=4, use_covariance=True, use_vnorm=True, epsilon=0.01), alpha_safeguard=0.2)"
Qwen/Qwen3-8B,expected_attention,ExpectedAttention(AdaKV-wrapped),False,0.875,0.875,72.78,99.8,98.0,26.6,97.0,74.2,0.4,97.4,96.75,99.84,73.84,91.47,46.2,44.6,"AdaKVPress(press=ExpectedAttentionPress(compression_ratio=0.875, n_future_positions=512, n_sink=4, use_covariance=True, use_vnorm=True, epsilon=0.01), alpha_safeguard=0.2)"
Qwen/Qwen3-8B,fastkvzip,FastKVzip,False,0.25,0.25,95.24,100.0,100.0,100.0,100.0,100.0,100.0,99.9,100.0,100.0,98.9,95.33,81.0,63.0,"FastKVzipPress(compression_ratio=0.25, layerwise=False, n_sink=4, window_size=4096, window_ratio=0.02, gates=None, score_val=None)"
Qwen/Qwen3-8B,fastkvzip,FastKVzip,False,0.5,0.5,95.23,100.0,100.0,100.0,100.0,100.0,100.0,99.95,99.95,100.0,98.88,95.67,80.6,63.0,"FastKVzipPress(compression_ratio=0.5, layerwise=False, n_sink=4, window_size=4096, window_ratio=0.02, gates=None, score_val=None)"
Qwen/Qwen3-8B,fastkvzip,FastKVzip,False,0.75,0.75,94.78,100.0,100.0,100.0,99.2,100.0,99.4,100.0,99.85,100.0,98.44,94.47,80.2,60.6,"FastKVzipPress(compression_ratio=0.75, layerwise=False, n_sink=4, window_size=4096, window_ratio=0.02, gates=None, score_val=None)"
Qwen/Qwen3-8B,fastkvzip,FastKVzip,False,0.875,0.875,88.78,100.0,98.6,99.2,79.0,99.0,96.8,99.0,80.65,100.0,81.04,89.07,74.2,57.6,"FastKVzipPress(compression_ratio=0.875, layerwise=False, n_sink=4, window_size=4096, window_ratio=0.02, gates=None, score_val=None)"
Qwen/Qwen3-8B,finch,Finch,True,0.25,0.25,95.2,100.0,100.0,100.0,100.0,99.4,99.8,100.0,100.0,100.0,98.62,95.53,81.6,62.6,"FinchPress(compression_ratio=0.25, chunk_length=None, normalize_scores=True, rerotate_keys=True, delimiter_token=None, delimiter_token_id=None, window_size=None)"
Qwen/Qwen3-8B,finch,Finch,True,0.5,0.5,93.46,100.0,100.0,95.0,100.0,96.2,93.4,100.0,99.95,99.96,95.26,94.4,80.2,60.6,"FinchPress(compression_ratio=0.5, chunk_length=None, normalize_scores=True, rerotate_keys=True, delimiter_token=None, delimiter_token_id=None, window_size=None)"
Qwen/Qwen3-8B,finch,Finch,True,0.75,0.75,80.51,100.0,100.0,27.2,99.8,76.8,60.0,100.0,88.05,99.76,66.12,93.33,77.6,58.0,"FinchPress(compression_ratio=0.75, chunk_length=None, normalize_scores=True, rerotate_keys=True, delimiter_token=None, delimiter_token_id=None, window_size=None)"
