model,press_name,pretty_name,query_aware,configured_ratio,achieved_ratio,score_macro13,niah_single_1,niah_single_2,niah_single_3,niah_multikey_1,niah_multikey_2,niah_multikey_3,niah_multiquery,niah_multivalue,vt,cwe,fwe,qa_1,qa_2,press_init_command
meta-llama/Llama-3.1-8B-Instruct,duo_attention,DuoAttention,False,0.5,0.4453,95.31,100.0,100.0,100.0,100.0,99.8,100.0,99.5,99.05,97.92,98.88,96.13,86.4,61.4,"DuoAttentionPress(head_compression_ratio=0.5, on_the_fly_scoring=False, compression_ratio_=None, recent_size=None, sink_size=None, streaming_mask=None)"
meta-llama/Llama-3.1-8B-Instruct,duo_attention,DuoAttention,False,0.75,0.6679,73.2,48.6,82.0,96.2,82.6,66.8,25.8,65.85,78.15,80.64,96.0,91.13,85.0,52.8,"DuoAttentionPress(head_compression_ratio=0.75, on_the_fly_scoring=False, compression_ratio_=None, recent_size=None, sink_size=None, streaming_mask=None)"
meta-llama/Llama-3.1-8B-Instruct,duo_attention,DuoAttention,False,0.875,0.7792,26.5,10.4,11.8,12.0,15.0,7.8,6.8,16.65,14.5,17.8,43.14,82.4,78.8,27.4,"DuoAttentionPress(head_compression_ratio=0.875, on_the_fly_scoring=False, compression_ratio_=None, recent_size=None, sink_size=None, streaming_mask=None)"
meta-llama/Llama-3.1-8B-Instruct,duo_attention_on_the_fly,DuoAttnOnTheFly,False,0.25,0.2226,95.54,100.0,100.0,99.8,99.8,99.8,99.8,99.85,99.85,99.88,99.62,94.6,87.0,62.0,"DuoAttentionPress(head_compression_ratio=0.25, on_the_fly_scoring=True, compression_ratio_=None, recent_size=None, sink_size=None, streaming_mask=None)"
meta-llama/Llama-3.1-8B-Instruct,duo_attention_on_the_fly,DuoAttnOnTheFly,False,0.5,0.4453,95.66,100.0,100.0,100.0,100.0,100.0,99.8,99.95,99.8,99.52,99.78,94.67,87.0,63.0,"DuoAttentionPress(head_compression_ratio=0.5, on_the_fly_scoring=True, compression_ratio_=None, recent_size=None, sink_size=None, streaming_mask=None)"
meta-llama/Llama-3.1-8B-Instruct,duo_attention_on_the_fly,DuoAttnOnTheFly,False,0.75,0.6679,93.71,99.6,99.2,99.8,98.4,99.8,99.6,98.75,91.65,97.68,95.18,92.33,88.8,57.4,"DuoAttentionPress(head_compression_ratio=0.75, on_the_fly_scoring=True, compression_ratio_=None, recent_size=None, sink_size=None, streaming_mask=None)"
meta-llama/Llama-3.1-8B-Instruct,duo_attention_on_the_fly,DuoAttnOnTheFly,False,0.875,0.7792,35.71,37.2,27.6,12.2,29.6,41.2,10.0,26.8,20.15,8.72,35.58,90.73,83.0,41.4,"DuoAttentionPress(head_compression_ratio=0.875, on_the_fly_scoring=True, compression_ratio_=None, recent_size=None, sink_size=None, streaming_mask=None)"
meta-llama/Llama-3.1-8B-Instruct,expected_attention,ExpectedAttention(AdaKV-wrapped),False,0.25,0.25,95.25,100.0,99.8,99.6,99.6,99.6,99.8,99.8,99.65,99.84,99.64,94.47,85.2,61.2,"AdaKVPress(press=ExpectedAttentionPress(compression_ratio=0.25, n_future_positions=512, n_sink=4, use_covariance=True, use_vnorm=True, epsilon=0.01), alpha_safeguard=0.2)"
meta-llama/Llama-3.1-8B-Instruct,expected_attention,ExpectedAttention(AdaKV-wrapped),False,0.5,0.5,92.18,99.8,99.8,92.8,99.2,96.2,80.4,99.3,97.75,99.48,99.46,94.93,81.0,58.2,"AdaKVPress(press=ExpectedAttentionPress(compression_ratio=0.5, n_future_positions=512, n_sink=4, use_covariance=True, use_vnorm=True, epsilon=0.01), alpha_safeguard=0.2)"
meta-llama/Llama-3.1-8B-Instruct,expected_attention,ExpectedAttention(AdaKV-wrapped),False,0.75,0.75,75.94,99.8,98.6,11.4,96.4,78.4,28.2,94.3,84.2,96.92,95.86,93.8,58.8,50.6,"AdaKVPress(press=ExpectedAttentionPress(compression_ratio=0.75, n_future_positions=512, n_sink=4, use_covariance=True, use_vnorm=True, epsilon=0.01), alpha_safeguard=0.2)"
meta-llama/Llama-3.1-8B-Instruct,expected_attention,ExpectedAttention(AdaKV-wrapped),False,0.875,0.875,45.13,97.2,74.2,0.0,50.2,19.0,0.2,48.5,39.15,81.28,45.66,66.07,30.8,34.4,"AdaKVPress(press=ExpectedAttentionPress(compression_ratio=0.875, n_future_positions=512, n_sink=4, use_covariance=True, use_vnorm=True, epsilon=0.01), alpha_safeguard=0.2)"
meta-llama/Llama-3.1-8B-Instruct,finch,Finch,True,0.25,0.25,93.71,100.0,100.0,99.8,99.2,89.0,87.8,99.85,98.75,99.96,99.28,94.0,88.0,62.6,"FinchPress(compression_ratio=0.25, chunk_length=None, normalize_scores=True, rerotate_keys=True, delimiter_token=None, delimiter_token_id=None, window_size=None)"
meta-llama/Llama-3.1-8B-Instruct,finch,Finch,True,0.5,0.5,90.3,99.8,99.4,91.2,99.2,78.6,69.8,99.2,96.65,99.88,97.76,91.0,87.2,64.2,"FinchPress(compression_ratio=0.5, chunk_length=None, normalize_scores=True, rerotate_keys=True, delimiter_token=None, delimiter_token_id=None, window_size=None)"
meta-llama/Llama-3.1-8B-Instruct,finch,Finch,True,0.75,0.75,77.33,99.8,94.8,27.0,98.0,70.0,12.4,95.9,89.15,99.64,86.48,85.53,84.4,62.2,"FinchPress(compression_ratio=0.75, chunk_length=None, normalize_scores=True, rerotate_keys=True, delimiter_token=None, delimiter_token_id=None, window_size=None)"
meta-llama/Llama-3.1-8B-Instruct,finch,Finch,True,0.875,0.875,66.25,99.6,89.6,0.8,98.2,56.0,0.0,85.95,68.9,93.4,54.8,74.6,80.2,59.2,"FinchPress(compression_ratio=0.875, chunk_length=None, normalize_scores=True, rerotate_keys=True, delimiter_token=None, delimiter_token_id=None, window_size=None)"
meta-llama/Llama-3.1-8B-Instruct,keydiff,KeyDiff,False,0.25,0.25,91.59,100.0,100.0,100.0,100.0,98.8,53.2,99.9,99.9,99.88,99.1,94.73,84.2,61.0,KeyDiffPress(compression_ratio=0.25)
meta-llama/Llama-3.1-8B-Instruct,keydiff,KeyDiff,False,0.5,0.5,85.46,100.0,100.0,100.0,100.0,88.8,11.0,99.95,99.75,99.88,94.34,92.87,75.0,49.4,KeyDiffPress(compression_ratio=0.5)
meta-llama/Llama-3.1-8B-Instruct,keydiff,KeyDiff,False,0.75,0.75,72.9,100.0,100.0,100.0,100.0,30.0,0.0,99.85,98.95,99.6,56.9,85.8,45.0,31.6,KeyDiffPress(compression_ratio=0.75)
meta-llama/Llama-3.1-8B-Instruct,keydiff,KeyDiff,False,0.875,0.875,63.34,100.0,99.8,99.8,98.6,4.4,0.0,99.4,97.5,85.0,16.48,73.87,26.6,22.0,KeyDiffPress(compression_ratio=0.875)
meta-llama/Llama-3.1-8B-Instruct,knorm,Knorm,False,0.25,0.25,76.3,100.0,97.4,32.2,91.2,39.4,27.2,91.7,93.5,99.92,99.3,93.87,68.8,57.4,KnormPress(compression_ratio=0.25)
meta-llama/Llama-3.1-8B-Instruct,knorm,Knorm,False,0.5,0.5,52.78,100.0,72.6,1.0,39.8,9.0,4.6,36.25,54.45,99.76,90.92,90.33,42.4,45.0,KnormPress(compression_ratio=0.5)
meta-llama/Llama-3.1-8B-Instruct,knorm,Knorm,False,0.75,0.75,30.3,100.0,5.8,0.0,4.4,2.6,0.4,2.85,6.95,92.96,47.16,81.6,20.6,28.6,KnormPress(compression_ratio=0.75)
meta-llama/Llama-3.1-8B-Instruct,knorm,Knorm,False,0.875,0.875,21.22,98.8,0.6,0.0,0.2,0.8,0.0,0.65,1.9,51.08,20.52,69.87,14.4,17.0,KnormPress(compression_ratio=0.875)
meta-llama/Llama-3.1-8B-Instruct,kvzip,KVzip,False,0.25,0.25,95.47,100.0,100.0,100.0,100.0,100.0,99.8,99.95,99.9,99.92,99.62,94.27,86.2,61.4,"KVzipPress(compression_ratio=0.25, layerwise=False, n_sink=4, kvzip_plus_normalization=False)"
meta-llama/Llama-3.1-8B-Instruct,kvzip,KVzip,False,0.5,0.5,95.43,99.8,100.0,100.0,100.0,100.0,99.8,100.0,99.95,99.92,99.66,94.27,85.8,61.4,"KVzipPress(compression_ratio=0.5, layerwise=False, n_sink=4, kvzip_plus_normalization=False)"
meta-llama/Llama-3.1-8B-Instruct,kvzip,KVzip,False,0.75,0.75,95.24,100.0,100.0,99.8,100.0,100.0,100.0,99.9,99.9,99.84,98.7,94.53,84.4,61.0,"KVzipPress(compression_ratio=0.75, layerwise=False, n_sink=4, kvzip_plus_normalization=False)"
meta-llama/Llama-3.1-8B-Instruct,kvzip,KVzip,False,0.875,0.875,92.8,100.0,100.0,100.0,99.2,99.6,97.8,99.5,98.2,99.44,84.34,92.27,79.8,56.2,"KVzipPress(compression_ratio=0.875, layerwise=False, n_sink=4, kvzip_plus_normalization=False)"
meta-llama/Llama-3.1-8B-Instruct,lagkv,LagKV,False,0.25,0.25,92.57,100.0,100.0,100.0,99.8,98.4,65.6,99.75,99.6,99.84,99.52,94.67,85.2,61.0,"LagKVPress(compression_ratio=0.25, n_sink=4, lag_size=128, cross_scoring=False)"
meta-llama/Llama-3.1-8B-Instruct,lagkv,LagKV,False,0.5,0.5,84.99,100.0,99.0,93.0,98.2,85.2,14.6,98.3,97.3,98.96,97.02,91.13,79.0,53.2,"LagKVPress(compression_ratio=0.5, n_sink=4, lag_size=128, cross_scoring=False)"
meta-llama/Llama-3.1-8B-Instruct,lagkv,LagKV,False,0.75,0.75,67.86,100.0,93.8,44.8,88.0,34.4,2.6,86.15,79.15,94.68,65.72,82.93,68.0,42.0,"LagKVPress(compression_ratio=0.75, n_sink=4, lag_size=128, cross_scoring=False)"
meta-llama/Llama-3.1-8B-Instruct,lagkv,LagKV,False,0.875,0.875,45.64,99.2,59.6,7.8,51.2,5.2,2.8,50.2,40.15,92.32,19.94,71.73,61.2,32.0,"LagKVPress(compression_ratio=0.875, n_sink=4, lag_size=128, cross_scoring=False)"
meta-llama/Llama-3.1-8B-Instruct,no_press,NoCompression,False,0.0,0.0,95.69,100.0,100.0,100.0,99.8,100.0,99.8,99.9,99.9,99.88,99.62,94.87,87.8,62.4,
meta-llama/Llama-3.1-8B-Instruct,observed_attention,ObservedAttention(H2O),False,0.25,0.25,74.93,75.2,46.2,17.2,87.2,94.4,49.8,82.9,82.8,97.32,99.68,94.33,87.0,60.0,ObservedAttentionPress(compression_ratio=0.25)
meta-llama/Llama-3.1-8B-Instruct,observed_attention,ObservedAttention(H2O),False,0.5,0.5,54.36,45.0,24.2,11.0,50.2,46.2,14.6,43.9,43.95,90.88,99.68,93.87,86.6,56.6,ObservedAttentionPress(compression_ratio=0.5)
meta-llama/Llama-3.1-8B-Instruct,observed_attention,ObservedAttention(H2O),False,0.75,0.75,34.23,18.2,2.8,4.8,11.8,12.4,3.8,6.65,5.0,62.68,97.8,91.4,82.8,44.8,ObservedAttentionPress(compression_ratio=0.75)
meta-llama/Llama-3.1-8B-Instruct,observed_attention,ObservedAttention(H2O),False,0.875,0.875,24.94,6.8,1.2,2.6,4.0,5.0,0.6,2.85,0.5,22.56,86.22,83.27,73.0,35.6,ObservedAttentionPress(compression_ratio=0.875)
meta-llama/Llama-3.1-8B-Instruct,pyramidkv,PyramidKV,False,0.25,0.25,82.76,98.6,99.8,11.0,98.4,89.2,52.4,98.6,97.95,94.92,99.28,93.47,84.4,57.8,"PyramidKVPress(compression_ratio=0.25, window_size=64, kernel_size=5, beta=20)"
meta-llama/Llama-3.1-8B-Instruct,pyramidkv,PyramidKV,False,0.5,0.5,69.08,97.2,98.2,4.2,85.6,59.4,16.0,76.45,76.05,83.4,87.64,89.07,73.2,51.6,"PyramidKVPress(compression_ratio=0.5, window_size=64, kernel_size=5, beta=20)"
meta-llama/Llama-3.1-8B-Instruct,pyramidkv,PyramidKV,False,0.75,0.75,43.39,77.0,55.4,2.4,34.4,17.2,1.6,27.05,25.3,59.84,84.5,85.6,56.4,37.4,"PyramidKVPress(compression_ratio=0.75, window_size=64, kernel_size=5, beta=20)"
meta-llama/Llama-3.1-8B-Instruct,pyramidkv,PyramidKV,False,0.875,0.875,27.15,62.2,19.4,2.4,20.8,7.2,0.6,18.0,16.1,36.72,34.4,72.67,36.2,26.2,"PyramidKVPress(compression_ratio=0.875, window_size=64, kernel_size=5, beta=20)"
meta-llama/Llama-3.1-8B-Instruct,qfilter,QFilter,False,0.25,0.25,79.1,100.0,94.8,8.6,95.8,88.8,12.8,97.5,96.45,99.88,99.6,94.67,81.8,57.6,"QFilterPress(compression_ratio=0.25, q_filters=None)"
meta-llama/Llama-3.1-8B-Instruct,qfilter,QFilter,False,0.5,0.5,62.86,100.0,72.4,0.6,70.8,22.8,2.8,68.35,72.75,99.88,97.42,91.8,67.0,50.6,"QFilterPress(compression_ratio=0.5, q_filters=None)"
meta-llama/Llama-3.1-8B-Instruct,qfilter,QFilter,False,0.75,0.75,40.69,100.0,28.0,0.0,13.8,3.2,0.2,18.1,20.55,99.6,74.54,85.73,46.0,39.2,"QFilterPress(compression_ratio=0.75, q_filters=None)"
meta-llama/Llama-3.1-8B-Instruct,qfilter,QFilter,False,0.875,0.875,30.98,100.0,7.6,0.0,2.4,1.4,0.0,3.45,5.25,97.8,46.72,76.13,31.8,30.2,"QFilterPress(compression_ratio=0.875, q_filters=None)"
meta-llama/Llama-3.1-8B-Instruct,random,Random,False,0.25,0.25,61.94,58.8,78.0,40.0,79.0,66.0,22.8,73.2,75.35,75.8,70.0,75.27,52.4,38.6,"RandomPress(compression_ratio=0.25, seed=None)"
meta-llama/Llama-3.1-8B-Instruct,random,Random,False,0.5,0.5,6.88,9.8,15.0,0.0,8.6,1.6,0.0,7.55,9.0,7.52,4.06,15.27,6.0,5.0,"RandomPress(compression_ratio=0.5, seed=None)"
meta-llama/Llama-3.1-8B-Instruct,random,Random,False,0.75,0.75,0.56,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.2,0.93,1.0,4.6,"RandomPress(compression_ratio=0.75, seed=None)"
meta-llama/Llama-3.1-8B-Instruct,random,Random,False,0.875,0.875,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,1.0,1.2,"RandomPress(compression_ratio=0.875, seed=None)"
meta-llama/Llama-3.1-8B-Instruct,snapkv,SnapKV,False,0.25,0.25,81.83,99.0,99.8,11.4,99.0,84.2,55.0,95.75,90.15,94.12,99.4,93.93,83.8,58.2,"SnapKVPress(compression_ratio=0.25, window_size=64, kernel_size=5)"
meta-llama/Llama-3.1-8B-Instruct,snapkv,SnapKV,True,0.25,0.25,94.52,100.0,100.0,88.8,99.8,100.0,98.6,99.9,99.6,99.32,99.32,93.6,87.6,62.2,"SnapKVPress(compression_ratio=0.25, window_size=64, kernel_size=5)"
meta-llama/Llama-3.1-8B-Instruct,snapkv,SnapKV,False,0.5,0.5,69.66,96.6,95.2,5.4,85.6,53.0,19.8,77.25,72.45,82.0,98.26,92.27,75.6,52.2,"SnapKVPress(compression_ratio=0.5, window_size=64, kernel_size=5)"
meta-llama/Llama-3.1-8B-Instruct,snapkv,SnapKV,True,0.5,0.5,88.9,100.0,100.0,37.2,99.8,99.2,85.0,99.95,99.2,97.76,97.72,89.73,88.0,62.2,"SnapKVPress(compression_ratio=0.5, window_size=64, kernel_size=5)"
meta-llama/Llama-3.1-8B-Instruct,snapkv,SnapKV,False,0.75,0.75,43.36,77.2,55.4,2.4,34.4,17.2,1.6,26.65,25.3,59.76,84.38,85.6,56.2,37.6,"SnapKVPress(compression_ratio=0.75, window_size=64, kernel_size=5)"
meta-llama/Llama-3.1-8B-Instruct,snapkv,SnapKV,True,0.75,0.75,78.76,100.0,100.0,5.2,100.0,95.2,27.8,99.95,97.55,88.4,81.8,77.53,88.0,62.4,"SnapKVPress(compression_ratio=0.75, window_size=64, kernel_size=5)"
meta-llama/Llama-3.1-8B-Instruct,snapkv,SnapKV,False,0.875,0.875,27.21,62.0,19.4,2.4,20.8,7.2,0.6,18.05,16.25,36.68,34.66,72.87,36.2,26.6,"SnapKVPress(compression_ratio=0.875, window_size=64, kernel_size=5)"
meta-llama/Llama-3.1-8B-Instruct,snapkv,SnapKV,True,0.875,0.875,67.96,100.0,99.0,2.4,99.2,88.6,2.2,97.3,72.0,66.24,47.72,66.4,82.2,60.2,"SnapKVPress(compression_ratio=0.875, window_size=64, kernel_size=5)"
meta-llama/Llama-3.1-8B-Instruct,streaming_llm,StreamingLLM,False,0.25,0.25,79.77,75.2,75.2,75.0,77.4,78.2,74.4,76.25,75.3,94.64,99.56,94.07,87.0,54.8,"StreamingLLMPress(compression_ratio=0.25, n_sink=4)"
meta-llama/Llama-3.1-8B-Instruct,streaming_llm,StreamingLLM,False,0.5,0.5,59.23,50.2,50.0,55.4,55.6,49.8,48.8,53.6,53.4,72.32,52.54,91.53,87.2,49.6,"StreamingLLMPress(compression_ratio=0.5, n_sink=4)"
meta-llama/Llama-3.1-8B-Instruct,streaming_llm,StreamingLLM,False,0.75,0.75,37.69,25.2,27.6,29.0,32.0,24.8,22.2,29.15,27.85,43.12,6.9,93.2,88.6,40.4,"StreamingLLMPress(compression_ratio=0.75, n_sink=4)"
meta-llama/Llama-3.1-8B-Instruct,streaming_llm,StreamingLLM,False,0.875,0.875,26.73,13.2,18.0,15.8,19.6,12.2,10.4,16.6,16.7,23.52,0.5,88.13,82.4,30.4,"StreamingLLMPress(compression_ratio=0.875, n_sink=4)"
meta-llama/Llama-3.1-8B-Instruct,tova,TOVA,False,0.25,0.25,87.35,100.0,100.0,95.4,99.8,72.8,33.4,99.9,99.8,99.88,97.18,90.73,86.8,59.8,TOVAPress(compression_ratio=0.25)
meta-llama/Llama-3.1-8B-Instruct,tova,TOVA,False,0.5,0.5,76.21,100.0,100.0,52.2,99.8,33.2,2.6,99.9,99.7,99.88,85.02,84.0,80.2,54.2,TOVAPress(compression_ratio=0.5)
meta-llama/Llama-3.1-8B-Instruct,tova,TOVA,False,0.75,0.75,63.32,100.0,99.8,4.6,98.2,7.0,0.0,97.55,96.9,96.6,52.82,70.47,56.4,42.8,TOVAPress(compression_ratio=0.75)
meta-llama/Llama-3.1-8B-Instruct,tova,TOVA,False,0.875,0.875,46.37,97.8,98.8,0.6,78.2,2.8,0.0,70.25,70.6,42.92,31.76,43.47,33.4,32.2,TOVAPress(compression_ratio=0.875)
